scenario,time,capability_frontier_ratio,output_per_person_growth,wage_growth,net_interest,labor_income_share,ai_services_counterfactual_ratio,output_counterfactual_ratio,wage_counterfactual_ratio,consumption_counterfactual_ratio
"Monopoly, chi = 7.5",23.625,0.9641773285840692,0.007101929143035988,0.007558670780447502,0.045621802111283055,0.05118145943254704,0.045486716805245506,0.06930573302099968,0.18461459053595158,0.3232716775847117
"Monopoly, chi = 7.5",23.75,0.9643540482115233,0.007129616792539289,0.007580295751025127,0.045658771093396416,0.05118436219445513,0.04510033502098783,0.0687103830424403,0.18353442269391265,0.3204646505313961
"Monopoly, chi = 7.5",23.875,0.9645297499546234,0.007157160419327349,0.00760180296463605,0.0456955244507499,0.051187226414387915,0.044717667144506805,0.06812085364450196,0.18246194271238533,0.3176855821932036
"Monopoly, chi = 7.5",24.0,0.964704440698044,0.007184560676650934,0.007623193033454462,0.04573206350202465,0.051190052253690804,0.04433867258861517,0.06753707969668697,0.18139708357544032,0.31493415104868727
"Monopoly, chi = 7.5",24.125,0.9648781272693051,0.0072118182168711,0.007644466567304483,0.045768389555589734,0.05119283987178776,0.04396331127339031,0.0669589969069659,0.18033977898438242,0.3122100398569449
"Monopoly, chi = 7.5",24.25,0.96505081644568,0.007238933689487447,0.00766562417246995,0.04580450391307214,0.0511955894307995,0.04359154360415591,0.06638654178721505,0.17928996330745808,0.3095129355040181
"Monopoly, chi = 7.5",24.375,0.9652225149515409,0.007265907742017402,0.007686666452247613,0.04584040786772642,0.05119830109330622,0.04322333047248554,0.06581965165325852,0.17824757159286542,0.30684252898699776
"Monopoly, chi = 7.5",24.5,0.9653932294530575,0.00729274102178767,0.007707594008066956,0.045876102701287516,0.051200975018058106,0.04285863326095835,0.06525826463053327,0.17721253959246372,0.3041985154213486
"Monopoly, chi = 7.5",24.625,0.9655629665662113,0.007319434173628168,0.007728407438094592,0.04591158968817678,0.05120361136546235,0.0424974138204601,0.06470231961862269,0.1761848037088497,0.30158059388407127
"Monopoly, chi = 7.5",24.75,0.9657317328578718,0.007345987839614311,0.007749107337089791,0.04594687009592752,0.051206210298076,0.04213963446429737,0.06415175628105463,0.17516430098872796,0.2989884673575216
